date,Vmax,level,V,perc,Diff.1000,Qin,Qout,Qin_calc,neg_Qin,Qin_calc_interp,Qout_calc,Qin_calc_before_interp
2020-10-25,165.26,414.88,113.382,68.608253660898%,189.000000000007,8.30528124999995,6.11778125000003,8.30528125000011,NA,8.30528125000011,6.11778125000003,8.30528125000011
2020-10-26,165.26,414.788,112.948,68.3456371777805%,-434.000000000012,6.42140623781677,11.4445543859649,6.42140623781662,NA,6.42140623781662,11.4445543859649,6.42140623781662
2020-10-27,165.26,414.96,113.761,68.8375892532978%,813.000000000002,9.52569097222225,0.11596875,9.52569097222225,NA,9.52569097222225,0.11596875,9.52569097222225
2020-10-28,165.26,415.12,114.521,69.2974706523055%,760.000000000005,8.81348379629619,0.0171875,8.81348379629636,NA,8.81348379629636,0.0171875000000004,8.81348379629636
2020-10-29,165.26,415.044,114.16,69.0790269877768%,-361.000000000004,6.13533217592591,10.3135729166667,6.13533217592591,NA,6.13533217592591,10.3135729166667,6.13533217592591
2020-10-30,165.26,415.13,114.568,69.3259106861915%,408.000000000001,5.92038541666684,1.19816319444444,5.92038541666668,NA,5.92038541666668,1.19816319444444,5.92038541666668
2020-10-31,165.26,415.114,114.492,69.2799225462907%,-75.9999999999934,6.30355699008861,7.18318661971833,6.30355699008878,NA,6.30355699008878,7.18318661971833,6.30355699008878
2020-11-01,165.26,415.03,114.093,69.0384848118117%,-399.000000000001,5.09292013888887,9.71097569444444,5.09292013888887,NA,5.09292013888887,9.71097569444444,5.09292013888887
2020-11-02,165.26,414.92,113.571,68.7226189035459%,-522.000000000006,5.21062601626024,11.2522926829268,5.21062601626007,NA,5.21062601626007,11.2522926829268,5.21062601626007
2020-11-03,165.26,414.39,111.079,67.2146920004841%,-2492,8.38779513888877,37.2303877314814,8.38779513888876,NA,8.38779513888876,37.2303877314814,8.38779513888876
2020-11-04,165.26,414.44,111.313,67.3562870628101%,234.000000000009,6.55359219858151,3.84525886524823,6.55359219858167,NA,6.55359219858167,3.84525886524823,6.55359219858167
2020-11-05,165.26,414.63,112.204,67.8954374924362%,890.999999999991,14.3227708333334,4.01027083333334,14.3227708333332,NA,14.3227708333332,4.01027083333334,14.3227708333332
2020-11-06,165.26,414.97,113.809,68.8666343942878%,1605,18.5937465277778,0.0173576388888889,18.5937465277778,NA,18.5937465277778,0.017357638888889,18.5937465277778
2020-11-07,165.26,415.2,114.902,69.5280164589132%,1093,12.6694421296295,0.0189791666666667,12.6694421296297,NA,12.6694421296297,0.0189791666666661,12.6694421296297
2020-11-08,165.26,415.25,115.14,69.6720319496551%,238,12.150681712963,9.39605208333332,12.1506817129629,NA,12.1506817129629,9.39605208333332,12.1506817129629
2020-11-09,165.26,415.72,117.394,71.0359433619751%,2254,26.1069282407409,0.0189652777777778,26.1069282407408,NA,26.1069282407408,0.0189652777777773,26.1069282407408
2020-11-10,165.26,415.884,118.185,71.5145830812054%,790.999999999997,18.1848946759259,9.02980208333332,18.1848946759259,NA,18.1848946759259,9.02980208333332,18.1848946759259
2020-11-11,165.26,415.416,115.934,70.1524869901973%,-2251,10.7781273148149,36.8313680555555,10.7781273148147,NA,10.7781273148147,36.8313680555555,10.7781273148147
2020-11-12,165.26,414.563,111.889,67.7048287546896%,-4045,6.85951967592587,53.6766493055555,6.85951967592585,NA,6.85951967592585,53.6766493055555,6.85951967592585
2020-11-13,165.26,414.31,110.705,66.988381943604%,-1184,10.3527997685184,24.0565034722222,10.3527997685185,NA,10.3527997685185,24.0565034722222,10.3527997685185
2020-11-14,165.26,414.37,110.985,67.1578119327121%,280.000000000001,10.9613834043102,7.72064266356946,10.9613834043102,NA,10.9613834043102,7.72064266356946,10.9613834043102
2020-11-15,165.26,414.51,111.64,67.5541570858042%,655.000000000001,10.1620370370369,2.5810185185184,10.1620370370369,NA,10.1620370370369,2.5810185185184,10.1620370370369
2020-11-16,165.26,414.71,112.58,68.1229577635242%,939.999999999998,10.8972811975739,0.0176515679442509,10.8972811975739,NA,10.8972811975739,0.0176515679442506,10.8972811975739
2020-11-17,165.26,414.77,112.863,68.2942030739441%,283.000000000001,8.56481481481484,5.28935185185186,8.56481481481484,NA,8.56481481481484,5.28935185185186,8.56481481481484
2020-11-18,165.26,414.85,113.241,68.52293355924%,378,8.69715625000001,4.32215625000001,8.69715625000001,NA,8.69715625000001,4.32215625000001,8.69715625000001
2020-11-19,165.26,414.9,113.477,68.6657388357739%,236.000000000004,8.28918218570691,5.55770070422538,8.28918218570691,NA,8.28918218570691,5.55770070422538,8.28918218570691
2020-11-20,165.26,414.88,113.382,68.608253660898%,-94.9999999999989,7.4074074074072,8.50694444444422,7.4074074074072,NA,7.4074074074072,8.50694444444422,7.4074074074072
